grid_id,run_timestamp,as_of_date,reason
AIZ_GRID_051,2026-09-22T04:54:01.357644+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_052,2026-09-22T04:54:01.357647+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_050,2026-09-22T04:54:01.357650+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_020,2026-09-22T04:54:01.357654+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_009,2026-09-22T04:54:01.357657+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_012,2026-09-22T04:54:01.357660+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_048,2026-09-22T04:54:01.357663+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_042,2026-09-22T04:54:01.357666+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_004,2026-09-22T04:54:01.357669+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_006,2026-09-22T04:54:01.357673+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_033,2026-09-22T04:54:01.357676+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_008,2026-09-22T04:54:01.357679+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_043,2026-09-22T04:54:01.357682+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_111,2026-09-22T04:54:01.357685+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_049,2026-09-22T04:54:01.357688+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_028,2026-09-22T04:54:01.357691+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_117,2026-09-22T04:54:01.357694+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_005,2026-09-22T04:54:01.357698+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_002,2026-09-22T04:54:01.357701+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_041,2026-09-22T04:54:01.357704+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_019,2026-09-22T04:54:01.357707+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_044,2026-09-22T04:54:01.357736+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
